alpha_prd,beta_sfd,gamma_gkr,retain_recall@10,retain_ndcg@10,forget_recall@10,forget_ndcg@10,retain_recall@20,retain_ndcg@20,forget_recall@20,forget_ndcg@20,zrf_score
0.1,0.5,0.5,0.15019404659781008,0.3661179182828087,0.08499821276587911,0.172599315959831,0.2324691538971635,0.35341148372805664,0.122326723659334,0.16281274981237062,0.9306856475239545
0.2,0.5,0.5,0.15047165993960718,0.36837153310924975,0.0857196856206476,0.1535797072061586,0.23405079316699434,0.3652257120010505,0.12676750079011184,0.1548204406784959,0.9536215920194654
0.3,0.5,0.5,0.15263829275989543,0.37156189635687453,0.08220191939608765,0.1528109384092745,0.2374269827691729,0.3674739494228223,0.12100072510904464,0.1494753405709094,0.9545824145895586
0.4,0.5,0.5,0.15270530373467608,0.3714906860194104,0.0745885302947044,0.15899171537009582,0.23975320780944955,0.3692547029519518,0.11118886916079926,0.1477142404966508,0.9559682870567646
0.5,0.5,0.5,0.15294829931806028,0.38191199807462566,0.08309896718675677,0.1588817371699845,0.25538584954304853,0.3883447124070036,0.1229438494729429,0.15801506883961905,0.9562017821088793
0.6,0.5,0.5,0.15294056502514515,0.3822010962362801,0.07857278694429581,0.1685521124678034,0.25577665920167375,0.388553444087634,0.13597438965882913,0.17077773494307116,0.9556285048953031
0.7,0.5,0.5,0.15321194327770185,0.3822698380227483,0.07593449631433344,0.14931249270759103,0.25986073287982615,0.3886231556992606,0.122109218348975,0.15025768122954145,0.9620366072940581
0.8,0.5,0.5,0.1533320727927049,0.3823744695375281,0.08315061507301034,0.16011368475853732,0.26478568231028257,0.38880543459974124,0.13779849020317522,0.16644709258628723,0.960308548907814
0.9,0.5,0.5,0.15319180099226898,0.384010060708296,0.08082171602390274,0.16162513341765478,0.26408983285061447,0.3895803479829968,0.12394752675356478,0.15585145426033126,0.963171070078111
1.0,0.5,0.5,0.15415001328066847,0.383879365729349,0.07726269152351865,0.15163639510142282,0.2650653002711306,0.38925341498748076,0.11647017407350393,0.14726915636746593,0.960951633422308
0.5,0.1,0.5,0.1535352152498054,0.37396891278299954,0.10261359886931633,0.22287742364007201,0.23729530013740408,0.3616475049578438,0.1716364642602469,0.22398680797636975,0.90441340936673964
0.5,0.2,0.5,0.15413161239707057,0.374158366083275,0.09688527153044382,0.1817475847041998,0.2398169204626401,0.36425553050022113,0.1490477710142538,0.17979448900184097,0.915944767923021
0.5,0.3,0.5,0.1528329100609402,0.3734967423921037,0.0771401788929685,0.16948864582028172,0.24022451334286568,0.3675186614009953,0.11795457299957637,0.1613637915222885,0.9268005683830025
0.5,0.4,0.5,0.15198913143599344,0.3710774831604868,0.07304487408594408,0.1547350485008246,0.2553004755405402,0.38769590691129044,0.11699095960326612,0.1510471484066313,0.9545382367648315
